type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_ask,side,time,trade_id,last_size
ticker,1294588340,WLUNA-USD,1.24,24.85,54484047.732,0.95,25.16,70332420.292,1.22,1.24,buy,2022-05-11T19:18:42.539941Z,7995925,8.044
ticker,1294588376,WLUNA-USD,1.22,24.85,54484307.229,0.95,25.16,70332679.789,1.22,1.24,sell,2022-05-11T19:18:42.824965Z,7995926,259.497
ticker,1294588405,WLUNA-USD,1.23,24.85,54484309.398,0.95,25.16,70332681.958,1.22,1.23,buy,2022-05-11T19:18:43.022385Z,7995927,2.169
ticker,1294588407,WLUNA-USD,1.23,24.85,54484330.143,0.95,25.16,70332702.703,1.22,1.23,buy,2022-05-11T19:18:43.022385Z,7995928,20.745
ticker,1294588409,WLUNA-USD,1.23,24.85,54484337.229,0.95,25.16,70332709.789,1.22,1.23,buy,2022-05-11T19:18:43.022385Z,7995929,7.086
ticker,1294588429,WLUNA-USD,1.22,24.85,54484339.859,0.95,25.16,70332712.419,1.22,1.23,sell,2022-05-11T19:18:43.259267Z,7995930,2.63
ticker,1294588431,WLUNA-USD,1.22,24.85,54484348.013,0.95,25.16,70332720.573,1.21,1.23,sell,2022-05-11T19:18:43.259267Z,7995931,8.154
ticker,1294588465,WLUNA-USD,1.23,24.85,54484428.013,0.95,25.16,70332800.573,1.22,1.23,buy,2022-05-11T19:18:43.407062Z,7995932,80.0
ticker,1294588493,WLUNA-USD,1.22,24.85,54484913.365,0.95,25.16,70333285.925,1.21,1.23,sell,2022-05-11T19:18:43.789378Z,7995933,485.352
ticker,1294588565,WLUNA-USD,1.22,24.85,54485163.365,0.95,25.16,70333535.925,1.21,1.23,sell,2022-05-11T19:18:44.041763Z,7995934,250.0
ticker,1294588626,WLUNA-USD,1.22,24.85,54485171.403,0.95,25.16,70333543.963,1.21,1.23,sell,2022-05-11T19:18:44.377078Z,7995935,8.038
ticker,1294588658,WLUNA-USD,1.22,24.85,54485174.658,0.95,25.16,70333547.218,1.21,1.23,sell,2022-05-11T19:18:44.405589Z,7995936,3.255
ticker,1294588691,WLUNA-USD,1.21,24.85,54486629.538,0.95,25.16,70335002.098,1.21,1.23,sell,2022-05-11T19:18:44.572651Z,7995937,1454.88
ticker,1294588700,WLUNA-USD,1.21,24.85,54486636.72,0.95,25.16,70335009.28,1.21,1.22,sell,2022-05-11T19:18:44.603639Z,7995938,7.182
